Gene name (Gene ID)	Length	cDNA #	cDNA %
MCM3AP-AS1 (ENSG00000215424.10)	29805	2	0.22148394241417496
KRTAP10-4 (ENSG00000215454.6)	60401	1	0.11074197120708748
AP001341.1 (ENSG00000222042.2)	192438	4	0.4429678848283499
MIR548XHG (ENSG00000224141.6)	198981	2	0.22148394241417496
LINC00320 (ENSG00000224924.7)	152367	2	0.22148394241417496
LINC00113 (ENSG00000225298.5)	28855	1	0.11074197120708748
AP000561.1 (ENSG00000226043.2)	210900	2	0.22148394241417496
AL157359.1 (ENSG00000226204.1)	13795	1	0.11074197120708748
AP000290.1 (ENSG00000226433.2)	6497	1	0.11074197120708748
AF130417.1 (ENSG00000227330.1)	92535	1	0.11074197120708748
LINC00307 (ENSG00000227342.1)	2633	1	0.11074197120708748
AP001471.1 (ENSG00000227438.1)	4267	1	0.11074197120708748
AP000282.1 (ENSG00000227757.3)	157456	1	0.11074197120708748
AP001610.2 (ENSG00000228318.3)	4653	1	0.11074197120708748
AJ009632.2 (ENSG00000229425.3)	256763	1	0.11074197120708748
AP000146.1 (ENSG00000230379.5)	54387	1	0.11074197120708748
AP001605.1 (ENSG00000231236.2)	88117	2	0.22148394241417496
AL157359.2 (ENSG00000232193.1)	17926	2	0.22148394241417496
AF127936.1 (ENSG00000232884.9)	86393	1	0.11074197120708748
LINC01426 (ENSG00000234380.2)	39130	1	0.11074197120708748
LINC01684 (ENSG00000237484.6)	241004	1	0.11074197120708748
AF241725.1 (ENSG00000237527.1)	31292	1	0.11074197120708748
LINC00316 (ENSG00000237664.1)	3401	2	0.22148394241417496
C21orf91-OT1 (ENSG00000240770.5)	25659	1	0.11074197120708748
AP000311.1 (ENSG00000249209.2)	337255	4	0.4429678848283499
CFAP298-TCP10L (ENSG00000265590.10)	204699	3	0.33222591362126247
AP001172.1 (ENSG00000270071.3)	19304	1	0.11074197120708748
CR382285.1 (ENSG00000270533.2)	142798	3	0.33222591362126247
AP000317.2 (ENSG00000272657.1)	267090	1	0.11074197120708748
BTG3-AS1 (ENSG00000280594.1)	21456	1	0.11074197120708748
AP001056.2 (ENSG00000285413.1)	22170	1	0.11074197120708748
GET1-SH3BGR (ENSG00000285815.1)	126853	2	0.22148394241417496
AC124864.2 (ENSG00000286103.1)	45487	1	0.11074197120708748
AP000331.1 (ENSG00000286153.1)	48597	2	0.22148394241417496
AP001407.1 (ENSG00000286717.1)	67520	1	0.11074197120708748
AP000474.2 (ENSG00000287612.1)	32070	1	0.11074197120708748
AP001437.2 (ENSG00000287637.1)	29021	1	0.11074197120708748
AP000477.3 (ENSG00000287801.1)	131708	3	0.33222591362126247
AF064866.1 (ENSG00000288069.1)	18571	1	0.11074197120708748
AF130248.1 (ENSG00000288578.1)	20307	1	0.11074197120708748
